slide_name,slide_id,patient_id,scanner_id,stain,particle_id,tissue_type,cluster_id
315_259_2_MG,315,259,2,MG,4468c060-b454-492c-b2d6-a9f925eb3a64,corpus,2
315_259_2_MG,315,259,2,MG,02fde0e8-251f-40d7-ba29-83228db7b56d,antrum,2
315_259_2_MG,315,259,2,MG,2cda3e31-f033-4653-bf6e-68ccb522001d,corpus,1
315_259_2_MG,315,259,2,MG,bed3002d-a5a9-485f-ab56-8a643d35efbd,antrum,1
10_7_1_MG,10,7,1,MG,104f4935-cbb2-4e2b-8b28-8d7c97d034d5,antrum,4
10_7_1_MG,10,7,1,MG,9cecde3f-872e-476d-847f-142799ed2d57,corpus,4
10_7_1_MG,10,7,1,MG,fe747b66-a91d-4dad-87c1-b69e1738db47,antrum,4
10_7_1_MG,10,7,1,MG,a2727e1d-3efd-401e-85fd-da2debc23825,antrum,3
10_7_1_MG,10,7,1,MG,01cd89d1-fbb8-4a78-ba77-d5d67ef0913b,corpus,3
10_7_1_MG,10,7,1,MG,561262f9-35d7-4926-b96a-2870a6d04284,antrum,3
10_7_1_MG,10,7,1,MG,b754db8d-7206-4b59-a717-258436e807b9,antrum,2
10_7_1_MG,10,7,1,MG,bd5e1449-54b3-4233-bc21-59191f50a961,corpus,2
10_7_1_MG,10,7,1,MG,e6940f3d-7d70-43ba-9b7f-1722eafdd0cf,antrum,2
10_7_1_MG,10,7,1,MG,041b4c8d-1e38-47c0-bb4c-c44ebb0f4c89,antrum,1
10_7_1_MG,10,7,1,MG,235033c7-7f0c-433d-8e30-86a906cd602d,corpus,1
10_7_1_MG,10,7,1,MG,d95b12b1-2796-41a6-9b58-bb11ba04f09c,antrum,1
324_262_2_MG,324,262,2,MG,a3ed69f1-b648-43db-b516-db67b166f31d,antrum,4
324_262_2_MG,324,262,2,MG,f78d64e8-f373-4e7c-b038-7cd15df213bb,antrum,4
324_262_2_MG,324,262,2,MG,c975e791-f57a-478a-aa61-8f0f4b806e91,antrum,4
324_262_2_MG,324,262,2,MG,72b5c7f5-192b-4473-806f-b0729534d1d4,antrum,3
324_262_2_MG,324,262,2,MG,af6bb0cc-e9f9-4955-8715-a2dcbea491aa,antrum,3
324_262_2_MG,324,262,2,MG,ad5bfad9-1926-4db6-80d7-8a94dacd73d1,antrum,3
324_262_2_MG,324,262,2,MG,f1a9112e-f9cc-4f83-9640-91e6745cecb5,antrum,2
324_262_2_MG,324,262,2,MG,d5b5865d-f211-46e6-bc63-890309ec87f8,antrum,2
324_262_2_MG,324,262,2,MG,a4712532-9e98-4945-931d-a1229c4d8689,antrum,2
324_262_2_MG,324,262,2,MG,141b16dc-b7f0-448b-84e6-cb3a641d75ad,antrum,1
324_262_2_MG,324,262,2,MG,96608712-f3ef-4552-bb30-7b3392a5cb45,antrum,1
324_262_2_MG,324,262,2,MG,907cafd6-b680-4e88-8992-aad9f925be22,antrum,1
139_113_1_HE,139,113,1,HE,688d1481-c505-4c45-a653-97b8b0022b32,corpus,4
139_113_1_HE,139,113,1,HE,25dbd063-8ca1-4175-91db-a119c91dd233,corpus,2
139_113_1_HE,139,113,1,HE,05c815cf-bce5-405a-8ef9-e1f52c124c10,corpus,3
139_113_1_HE,139,113,1,HE,9af0d1db-6492-49d1-ab52-13ecc44dc328,corpus,1
139_113_1_HE,139,113,1,HE,f15caa42-9ac7-43a6-affb-ba006ea043d0,corpus,4
139_113_1_HE,139,113,1,HE,f1467422-6769-4476-92d2-beacedd9aff0,corpus,2
139_113_1_HE,139,113,1,HE,a73f05ef-3410-47ef-b2b7-4383d64ee567,corpus,3
139_113_1_HE,139,113,1,HE,27be0aec-3bf7-4d32-b0c5-335e430ff931,corpus,1
56_40_1_HE,56,40,1,HE,f9ec5d13-ab7b-4084-b7ce-ac042d98556e,corpus,4
56_40_1_HE,56,40,1,HE,6ac4e401-2160-4ba0-b075-c90faecc601d,corpus,2
56_40_1_HE,56,40,1,HE,f915c618-b7be-4b06-a643-010df836406d,corpus,2
56_40_1_HE,56,40,1,HE,45d84635-3e3c-405c-b710-cea7667a0fb3,corpus,3
56_40_1_HE,56,40,1,HE,dab296c3-8db9-4455-815a-34cfa4e8c708,corpus,3
56_40_1_HE,56,40,1,HE,e45dd15c-33da-4b78-8f14-a76739620750,corpus,1
56_40_1_HE,56,40,1,HE,abab5b71-dbf4-4e4b-a4e8-33793a12ae88,corpus,1
56_40_1_HE,56,40,1,HE,05db1d98-1d09-435d-abf3-cd46d9ce5b68,corpus,4
166_140_1_HE,166,140,1,HE,20e0598f-77ed-4b73-9b5f-39caec5c4890,antrum,3
166_140_1_HE,166,140,1,HE,365a1e02-e4c3-4a7b-889d-441c884b4ac4,corpus,4
166_140_1_HE,166,140,1,HE,2ee29347-6646-4fd4-9643-04b64d676f1d,corpus,1
166_140_1_HE,166,140,1,HE,6a27abad-e9ce-44f6-90e0-4ac7955d515b,antrum,3
166_140_1_HE,166,140,1,HE,44c32490-55b4-44a2-a7f1-9a944f3f880a,antrum,4
166_140_1_HE,166,140,1,HE,4d69f347-8c5c-423f-971a-07f0525963e2,corpus,4
166_140_1_HE,166,140,1,HE,06b66b8c-7760-466d-8123-f9ddb9b76cdc,antrum,1
166_140_1_HE,166,140,1,HE,e1a7d6bd-188b-4368-8f44-f8e0a5268e64,antrum,2
166_140_1_HE,166,140,1,HE,d512f22e-ab4f-48bf-bb09-903e03a0c98b,antrum,1
166_140_1_HE,166,140,1,HE,a763bce1-471f-460b-bace-7ae146f6c7f3,corpus,2
166_140_1_HE,166,140,1,HE,ce4839a7-0783-4b53-a4f9-d2167a4f93f6,antrum,2
166_140_1_HE,166,140,1,HE,0b9ae7be-15dd-4cfa-9ee3-f261df88d28a,corpus,3
166_140_1_HE,166,140,1,HE,58d647e3-6bf8-4b62-a414-a8d40b6844ea,corpus,2
166_140_1_HE,166,140,1,HE,5a02b229-77b4-4cdf-8523-23ee1de4685d,corpus,1
166_140_1_HE,166,140,1,HE,9175424a-58ce-4c1d-b942-627d50ad9894,corpus,3
166_140_1_HE,166,140,1,HE,e332615c-7167-49c1-850b-4bbb803af2b9,antrum,4
142_116_1_HE,142,116,1,HE,7c0bda37-e188-4bbe-8c6d-b2cce85286f7,antrum,4
142_116_1_HE,142,116,1,HE,bce3b3ef-e633-411b-a973-532b66e484e1,antrum,4
142_116_1_HE,142,116,1,HE,dcaf9d1d-b5a5-4e9d-b863-20660ded1c79,corpus,4
142_116_1_HE,142,116,1,HE,6d9081c8-d56f-4c2f-9adb-6541add709f9,antrum,3
142_116_1_HE,142,116,1,HE,09f6e082-11f5-4606-b100-c0d494338607,antrum,3
142_116_1_HE,142,116,1,HE,ce4230b7-2d1c-4c83-a3f3-3a81a80dfec4,corpus,3
142_116_1_HE,142,116,1,HE,f650d99a-d79c-4cca-8c22-e449b1039488,antrum,2
142_116_1_HE,142,116,1,HE,35138d6d-9993-4abe-8732-6373df2017e8,antrum,2
142_116_1_HE,142,116,1,HE,2d48aeb7-fde4-4c3b-b602-c788085c283b,corpus,2
142_116_1_HE,142,116,1,HE,c1725540-a755-4d15-a440-3b36b0915a47,antrum,1
142_116_1_HE,142,116,1,HE,49a4ac02-241b-448d-b02d-fe30eec773c7,antrum,1
142_116_1_HE,142,116,1,HE,ee154406-c1f9-4c6b-82c9-9da473e252b4,corpus,1
335_266_2_PAS,335,266,2,PAS,1c08ab7c-ff99-4fcb-ab64-4a9a0c52077c,antrum,3
335_266_2_PAS,335,266,2,PAS,46865b6e-484b-4d66-956d-3d32f5cad0df,antrum,3
335_266_2_PAS,335,266,2,PAS,4d8b2be7-9c17-41e1-aba8-cc01d829c24f,antrum,2
335_266_2_PAS,335,266,2,PAS,b7e6dab3-c421-440a-a0a2-61ac019644ee,antrum,2
335_266_2_PAS,335,266,2,PAS,d2bd592f-c830-435f-9236-0e699d125d73,antrum,1
335_266_2_PAS,335,266,2,PAS,023973fa-c183-41b6-b11f-af68f076f429,antrum,1
122_96_1_HE,122,96,1,HE,f6532d16-fbbf-4d3a-83b6-9d762563ad1f,corpus,1
122_96_1_HE,122,96,1,HE,515b42b7-d190-4f20-be72-4cc8bd9b784f,corpus,1
122_96_1_HE,122,96,1,HE,e0774aee-db28-4208-a32a-621cb01bbf45,corpus,2
122_96_1_HE,122,96,1,HE,d48e687e-7932-4398-b8f5-9e3ef0672ce8,corpus,2
122_96_1_HE,122,96,1,HE,36c87360-908b-4a49-9ddf-b77341f96b96,corpus,3
122_96_1_HE,122,96,1,HE,1791ed7d-c6cf-4374-8767-d78af8305818,corpus,3
122_96_1_HE,122,96,1,HE,b9185df4-7922-46a4-a7c5-997d95dc179a,corpus,4
122_96_1_HE,122,96,1,HE,5983664f-eb13-45dc-9669-a505fdb15efa,corpus,4
283_249_2_HE,283,249,2,HE,b2b7a414-e0b3-476f-9584-2fa22a7a9c83,corpus,3
283_249_2_HE,283,249,2,HE,ee0f20f9-cd85-48c1-b35d-9b08e86914b4,antrum,3
283_249_2_HE,283,249,2,HE,7ff6575d-da11-4a5a-bdf4-2325f449f870,antrum,3
283_249_2_HE,283,249,2,HE,0570695a-e0ce-4911-a0dd-ebb1276022f9,corpus,2
283_249_2_HE,283,249,2,HE,79b729c5-e684-4404-83ac-62afa03b11f7,corpus,2
283_249_2_HE,283,249,2,HE,053ce4be-8bc9-4744-82dd-b2d2f2442327,antrum,2
283_249_2_HE,283,249,2,HE,e9ca2b69-7e61-4bb3-826f-c63d52c25bf6,antrum,2
283_249_2_HE,283,249,2,HE,1d9e9190-130c-43fd-8185-1b10cb47b075,corpus,1
283_249_2_HE,283,249,2,HE,50ee7a23-865c-425c-86f3-6cd63ca7a549,corpus,1
283_249_2_HE,283,249,2,HE,0259c49a-afa2-4929-bd92-b319e845622e,antrum,1
283_249_2_HE,283,249,2,HE,1dbcd27a-5857-4b78-849f-e79772a3235d,antrum,1
283_249_2_HE,283,249,2,HE,39a062cd-6a40-4a8e-b7e4-5ad099f4925c,corpus,3
113_87_1_HE,113,87,1,HE,8d6eaed0-2f6b-4c84-beb2-f18a7809a98f,antrum,2
113_87_1_HE,113,87,1,HE,899f31cc-06f8-4071-92e7-57c959fc8d9c,antrum,1
113_87_1_HE,113,87,1,HE,c87fa2ac-0037-4c52-a4be-d181e9b2215d,antrum,4
113_87_1_HE,113,87,1,HE,3daee446-1cba-447b-bfd8-27f098de32df,antrum,1
113_87_1_HE,113,87,1,HE,14cb9190-d1f8-41e5-8bf8-36981ee57ef8,antrum,2
113_87_1_HE,113,87,1,HE,30fac844-ec8f-4fe4-a4d3-692934317bb3,antrum,4
113_87_1_HE,113,87,1,HE,46378fe2-b293-4d1b-a61f-ee95bf222eee,antrum,3
113_87_1_HE,113,87,1,HE,254034fa-f440-4577-b50e-070e277d2eb1,antrum,3
320_261_2_PAS,320,261,2,PAS,b53e8e62-e7b5-4bab-9a5a-c63f689ce18a,antrum,3
320_261_2_PAS,320,261,2,PAS,bbd780dc-92e7-4591-90e1-e0a4c0d903d8,antrum,3
320_261_2_PAS,320,261,2,PAS,0cc69b23-05cd-45aa-86ec-5e7a8cd06bfe,antrum,2
320_261_2_PAS,320,261,2,PAS,eccad23f-b92c-46e1-b6f7-bb6cce2bc282,antrum,2
320_261_2_PAS,320,261,2,PAS,74343fb1-43c5-4598-a3ae-bf17fc039f7c,antrum,1
262_236_1_HE,262,236,1,HE,9ebe5ec7-099c-4fad-9b49-07de111463cb,intermediate,4
262_236_1_HE,262,236,1,HE,7042e005-4163-429d-aaa4-486242d1dcdb,intermediate,3
262_236_1_HE,262,236,1,HE,6bf34ed0-18f9-486c-9646-15484fbf76e6,intermediate,2
262_236_1_HE,262,236,1,HE,e7efbead-9042-4bbe-a552-865e7cf0db01,intermediate,1
4_2_1_PAS,4,2,1,PAS,3c006c7a-6d05-4f60-bb98-ca3da3833bea,corpus,4
4_2_1_PAS,4,2,1,PAS,4a9da4ca-86d7-480c-924a-34b84677efc8,corpus,4
4_2_1_PAS,4,2,1,PAS,2c091416-86c7-437c-9d1b-ecb46cb7f826,corpus,3
